frame_idx,origin_source,mode,used_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z,obj_euler_x_deg,obj_euler_y_deg,obj_euler_z_deg,filter_mode,quat_order,apply_x_map
42,1,primary,0,-1.2367612836110475,0.3550956821567298,-0.21708683233650874,0.0029741846617420847,0.9863349360914658,0.15867047084329577,0.04425188982867119,178.85488667806592,-4.953690645278818,18.327142202346227,ema,wxyz,-X
43,1,primary,0,-1.2400324422581996,0.35846000254385807,-0.2175795449675178,0.004859266251567081,0.9915255992777896,0.12305360428033926,0.041366459625332024,178.86078042242298,-4.636615295314984,14.195198295534146,ema,wxyz,-X
44,1,primary,0,-1.2425494451690897,0.36009407459950143,-0.21716533778355387,0.004440563970695832,0.9946723320417287,0.09555999813401689,0.03841249821240679,179.07053054705187,-4.333802488038239,11.01050723867419,ema,wxyz,-X
45,1,primary,0,-1.2443655955642647,0.3616936425167997,-0.21700310974194148,0.005679109946955945,0.996488546148462,0.0752689401201805,0.03623412422454272,179.03647948951593,-4.092039275295229,8.673596316786455,ema,wxyz,-X
46,1,primary,0,-1.2457056022904003,0.36360467400033464,-0.21763012232774226,0.008824374023045919,0.9975425500351734,0.06027784588310228,0.03460596174242177,178.74925902210956,-3.897859027563637,6.9585016219887965,ema,wxyz,-X
47,1,primary,0,-1.2464674571173904,0.3647801234977649,-0.21703176057531387,0.01020956061180448,0.9982339574988877,0.04872824330660442,0.032408166755852674,178.64830359687048,-3.652608762640025,5.6323894128405865,ema,wxyz,-X
48,1,primary,0,-1.2475935830343794,0.3660910344036615,-0.2170945598466831,0.010865431371264144,0.9985999778191812,0.04050168438040606,0.03224345302533754,178.60405315642765,-3.64167803577285,4.689491860160591,ema,wxyz,-X
49,1,primary,0,-1.2480538372925867,0.36618699875061517,-0.21598614114816372,0.009927357337011283,0.9989062729405476,0.03387573235696527,0.030661705980045615,178.7422167771903,-3.473320014804264,3.9227717519607177,ema,wxyz,-X
50,1,primary,0,-1.2479560489989519,0.36637882022253915,-0.216705532929567,0.00937958621369192,0.9990666958510764,0.028918346791573107,0.030683706140475223,178.82224275626945,-3.48387648417713,3.351787373213675,ema,wxyz,-X
51,1,primary,0,-1.2485754008796313,0.366301429137933,-0.2131858018616513,0.008881039579357033,0.9992263897745274,0.025136592257743964,0.02891194984469552,178.89793535456067,-3.2867233495096144,2.9136826552175354,ema,wxyz,-X
