frame_idx,t_sec,cam1_origin_source,cam2_origin_source,cam3_origin_source,cam1_origin_held_frames,cam2_origin_held_frames,cam3_origin_held_frames,n_direct_cams,n_anchor_cams,n_held_cams,n_total_tags,head_visible,head_pos_x,head_pos_y,head_pos_z,head_quat_w,head_quat_x,head_quat_y,head_quat_z,head_n_cams,pelvis_visible,pelvis_used_id,pelvis_pos_x,pelvis_pos_y,pelvis_pos_z,pelvis_quat_w,pelvis_quat_x,pelvis_quat_y,pelvis_quat_z,pelvis_n_cams,root_pos_x,root_pos_y,root_pos_z,root_quat_w,root_quat_x,root_quat_y,root_quat_z,torso_head_pos_x,torso_head_pos_y,torso_head_pos_z,torso_head_quat_w,torso_head_quat_x,torso_head_quat_y,torso_head_quat_z,torso_pelvis_pos_x,torso_pelvis_pos_y,torso_pelvis_pos_z,torso_pelvis_quat_w,torso_pelvis_quat_x,torso_pelvis_quat_y,torso_pelvis_quat_z,torso_pos_x,torso_pos_y,torso_pos_z,torso_quat_w,torso_quat_x,torso_quat_y,torso_quat_z,torso_path,box_visible,box_n_tags,obj_pos_x,obj_pos_y,obj_pos_z,obj_quat_w,obj_quat_x,obj_quat_y,obj_quat_z
37,9.516353130340576,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.675977410809157,0.5155806333239188,-0.14770192225504902,0.9778010119150357,0.032957139090966724,-0.07197724044451145,0.1940058889283103
38,9.755392074584961,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.66525657595183,0.5243412629723444,-0.1544802959455126,0.9795477863967837,0.022531760290205614,-0.04836391127933355,0.19400872668297803
39,10.005763292312622,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6644309838879665,0.5281171723695164,-0.15383700493863636,0.9795354480767315,0.02443523090229862,-0.05365005944818941,0.19244452856102168
40,10.256705284118652,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6693522593920681,0.514556597198273,-0.1601926857822455,0.9773877743079356,0.04701821562897878,-0.07442535167348079,0.19225840179489126
41,10.508097171783447,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6665346145419878,0.5260520229202386,-0.1515850610158465,0.9795075923655951,0.026330179018933877,-0.04951582968026814,0.1934419312922118
42,10.745989322662354,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6627727720214627,0.5189934600828188,-0.15400419873794619,0.9794690695869189,0.04139533769868235,-0.0361207801342587,0.19396406105730032
43,10.99121642112732,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6670718779486965,0.5267463017139885,-0.1659394940944912,0.9787551804753224,0.008860498140578944,-0.06641733937431615,0.19377441857958727
44,11.236878156661987,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6703416779009411,0.5130690553045918,-0.16039401125512492,0.9778537296133918,0.04731245373180817,-0.06703271157886301,0.1925363102935137
45,11.481490850448608,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6708270440169052,0.5149187228394918,-0.14752311938185544,0.9780853248667266,0.049567098511111005,-0.0632375666516571,0.1920760531391589
46,11.728745698928833,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6616409788248687,0.520949739960195,-0.15036365297423526,0.9794401792334754,0.04534146849150684,-0.03670734925361809,0.19311565718217721
47,11.976444482803345,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6676132131637725,0.5294799184971242,-0.1568834235064243,0.9790792735593051,0.012020065103551563,-0.0632188586504223,0.1930354113431726
48,12.224258661270142,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6653061750936312,0.5248556872672485,-0.1512169028905192,0.9792746852771574,0.026778259421873913,-0.05289927992367089,0.19366383705074186
49,12.478901147842407,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.669648398022038,0.5099245367548715,-0.14846274682837293,0.9776274696722408,0.06526324521969633,-0.05392966575986875,0.19255344846736624
50,12.721801519393921,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.672350684306871,0.5137317062846014,-0.16058816919619243,0.976973488776856,0.05241556178924115,-0.07452559312933561,0.19292834700535239
51,12.964908123016357,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6637272395795379,0.5235590148227314,-0.16575859161399917,0.9792531143685623,0.028140490738981106,-0.053493916152342315,0.19341626538408582
52,13.21480941772461,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6643032807044952,0.5185861171630045,-0.15431455955856077,0.9798040323725088,0.037212706447553694,-0.030970104329740886,0.19401063183038406
53,13.465493202209473,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6703420836610364,0.5120193210928324,-0.1478593847297948,0.977707420311932,0.05857797200026403,-0.05977627397525359,0.19257107397778903
54,13.7081880569458,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6633383437847743,0.519350886991769,-0.1562290395275144,0.9795361134541024,0.04009667529232198,-0.035157306620694,0.1940753020374116
55,13.956354141235352,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6600223792990021,0.5219380229797888,-0.15224629814449797,0.9792879064241117,0.04398157859117468,-0.04375548794399759,0.19273368763890614
56,14.201470851898193,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6670793948034468,0.5084740481735581,-0.1486735078816768,0.9777337908028286,0.0655067357703394,-0.05191477517071804,0.19248469552153813
57,14.446276426315308,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6689822578864284,0.5169131307714981,-0.1536429417681445,0.977397982719436,0.05224834405292007,-0.07268239904796833,0.19152170317835168
58,14.690984725952148,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6658382654190853,0.5219239968817789,-0.14973792901498006,0.9791559464370546,0.03371176203388204,-0.05010104722450953,0.19392533285915525
59,14.94063115119934,direct,direct,direct,0,0,0,3,0,0,6,0,,,,,,,,0,0,-1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,-0.6662873505336735,0.5107040503316715,-0.15023850662861246,0.9774825692053861,0.07014619124491303,-0.05679107833015418,0.1907409556848449
